Symbol,Target,Stoploss,SmallTF,BigTF,cool,lotsize,runtime,percentageChange,previousclose,presentclose,CE_LTP,TargetValue,StoplossValue
BANKNIFTY2460548000CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-1.4253950607480383,1259.3,1239.95,1241.35,1250.95,1220.95
BANKNIFTY2460547200CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-12.889487870619941,1855.0,1855.0,1615.9,,
BANKNIFTY2460548300CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-5.058558558558566,1110.0,1110.0,1053.85,,
BANKNIFTY2460547400CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-6.412063998038368,1631.3,1575.0,1526.7,,
BANKNIFTY2460547500CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-2.6979700369673867,1541.9,1491.1,1500.3,,
BANKNIFTY2460547600CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-2.5757156686488725,1446.2,1446.2,1408.95,,
BANKNIFTY2460547700CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-2.1297567500968073,1420.35,1387.0,1390.1,,
BANKNIFTY2460547800CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-3.8988598352695782,1390.15,1349.15,1335.95,,
BANKNIFTY2460547900CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-1.0585472881943108,1298.95,1298.95,1285.2,,
BANKNIFTY2460548100CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-33.06360979995505,1334.7,1334.7,893.4,,
BANKNIFTY2460548200CE,10,20,5minute,15minute,True,nan,2024-05-15 13:40:00,-11.49320909665194,1266.4,1266.4,1120.85,,
