Symbol,Target,Stoploss,SmallTF,BigTF,cool,lotsize,runtime,previousclose,presentclose,percentageChange,PE_LTP,TargetValue,StoplossValue
BANKNIFTY24MAY48900PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1286.15,1286.15,-2.7057497181510852,1251.35,,
BANKNIFTY24MAY48800PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1220.6,1220.6,-3.322136654104535,1180.05,1202.8,1172.8
BANKNIFTY24MAY48700PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1122.9,1126.8,-1.4248820019592128,1106.9,,
BANKNIFTY24MAY48600PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1047.5,1050.0,-0.9546539379474941,1037.5,,
BANKNIFTY24MAY49000PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1352.45,1350.6,-1.035158416207623,1338.45,,
BANKNIFTY24MAY48500PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,987.6,979.05,-1.442891859052248,973.35,,
BANKNIFTY24MAY48400PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,912.8,907.75,-0.3505696757230425,909.6,,
BANKNIFTY24MAY49100PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,1441.55,1410.8,-2.219832818840831,1409.55,,
BANKNIFTY24MAY48300PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,861.25,849.0,-1.6777939042090038,846.8,,
BANKNIFTY24MAY48200PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,800.15,789.3,-1.5122164594138627,788.05,,
BANKNIFTY24MAY48100PE,10,20,5minute,15minute,True,15,2024-05-15 14:15:00,742.7,733.3,-1.4676181499932799,731.8,,
