Symbol,Target,Stoploss,SmallTF,BigTF,lotsize,Sync
BANKNIFTY2460548000CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547200CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460548300CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547400CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547500CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547600CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547700CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547800CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460547900CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460548100CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460548200CE,10,20,5minute,15minute,,TRUE
BANKNIFTY2460548300CE,10,20,5minute,15minute,,TRUE
