Symbol,Target,Stoploss,SmallTF,BigTF,lotsize,Sync
BANKNIFTY24MAY48900PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48800PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48700PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48600PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY49000PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48500PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48400PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY49100PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48300PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48200PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48100PE,10,20,5minute,15minute,,TRUE
BANKNIFTY24MAY48400PE,10,20,5minute,15minute,,TRUE
